upc,date_adj,haspromo,units_adj
7756728323,20210708,1,11
3800078704,20210708,0,13
3620001498,20210708,0,14
1115330124,20210708,0,8
4190007919,20210708,0,13
9849313150,20210708,0,2
4850020183,20210708,1,68
62,20210708,0,101
3889749111,20210708,0,27
1380014333,20210708,0,4
7910052040,20210708,0,3
4100000271,20210708,0,7
1820005989,20210708,0,9
64556901017,20210708,0,6
81829001698,20210708,0,40
7231000098,20210708,0,2
1480058205,20210708,0,32
85564800637,20210708,0,4
28681700000,20210708,0,7
5100027655,20210708,0,6
1115314850,20210708,0,14
1115306112,20210708,0,7
7778202396,20210708,0,9
85954600425,20210708,0,6
60155799248,20210708,0,2
81029100230,20210708,0,19
2362753112,20210708,0,4
4100073148,20210708,0,10
4100000890,20210708,0,6
21483900000,20210708,0,1
7040400117,20210708,1,14
80000000052,20210708,0,3
5210003639,20210708,0,2
8017137000058,20210708,0,3
1200017232,20210708,0,2
78533177830,20210708,0,3
5150000087,20210708,0,9
689,20210708,0,10
1920095871,20210708,0,13
7680853360,20210708,0,13
6011,20210708,0,9
7630172216,20210708,0,12
3000031597,20210708,0,7
20108500000,20210708,0,28
7756700224,20210708,1,10
76738703420,20210708,0,4
7236839361,20210708,0,5
7065000404,20210708,0,2
85123900205,20210708,0,1
4650076953,20210708,0,14
2558300422,20210708,0,7
7506200109,20210708,0,6
60265217058,20210708,0,9
73525701326,20210708,0,4
4695,20210708,0,2
1820053308,20210708,0,3
4450020181,20210708,0,8
20521800000,20210708,0,4
3800024383,20210708,0,4
85977200512,20210708,0,2
60265217011,20210708,0,6
72450036736,20210708,0,1
4450096650,20210708,0,3
28100400000,20210708,0,1
7169140528,20210708,0,6
24028600000,20210708,0,3
32390004120,20210708,0,2
82699803060,20210708,0,1
76777800101,20210708,0,2
3060320240,20210708,0,1
28083500000,20210708,0,8
81083302272,20210708,0,1
20709500000,20210708,0,2
7314907470,20210708,0,1
70366910920,20210708,0,2
3746608323,20210708,0,15
64944000312,20210708,0,2
4133101501,20210708,0,1
1410005187,20210708,0,3
1450001352,20210708,0,6
20282800000,20210708,0,4
7431202832,20210708,0,2
8831300451,20210708,0,6
2800023317,20210708,0,3
76348538956,20210708,0,2
76908700429,20210708,0,1
82699804099,20210708,0,1
26585100000,20210708,0,2
25080000000,20210708,0,27
3150000239,20210708,0,2
3700044980,20210708,0,3
4116701056,20210708,0,2
30045020431,20210708,0,1
1428631001,20210708,0,3
85804500444,20210708,0,1
3663201944,20210708,0,3
64044530001,20210708,0,2
5833601114,20210708,0,3
1500000639,20210708,0,2
87659300004,20210708,0,1
2260022329,20210708,0,1
74595730150,20210708,0,1
74228780211,20210708,0,1
7007457802,20210708,0,1
1674100070,20210708,0,1
9426241343,20210708,0,1
81594400541,20210708,0,1
7790100404,20210708,0,1
76361508580,20210708,0,0
7410003712870,20210708,0,0
2700061216,20210708,0,0
7172008503,20210708,0,0
1816,20210708,0,0
7426502301,20210708,0,0
7236827424,20210708,0,0
8949796347,20210708,0,0
75365671875,20210708,0,0
6906500085,20210708,0,0
69969400113,20210708,0,0
89802800125,20210708,0,0
79954001153,20210708,0,0
87409700023,20210708,0,0
68765217229,20210708,0,0
84654802072,20210708,0,0
3663850002,20210708,0,0
64499613990,20210708,0,0
7047043332,20210708,0,0
7896004400327,20210708,0,0
8992779257506,20210708,0,0
1996266063,20210708,0,0
7441056200014,20210708,0,0
7128100760,20210708,0,0
85785300217,20210708,0,0
